Date,Open,High,Low,Close,Volume
29-Nov-17,61.56,62.66,61.42,61.83,4090443
28-Nov-17,62.34,62.41,61.00,61.38,5690627
27-Nov-17,62.20,62.93,61.29,62.78,5123646
24-Nov-17,60.81,62.09,60.75,61.68,2129277
22-Nov-17,60.41,61.43,60.41,61.35,6642982
21-Nov-17,61.10,61.25,60.23,60.41,5170174
20-Nov-17,59.74,60.45,59.58,60.30,4225063
17-Nov-17,59.55,60.07,58.96,60.02,7147568
16-Nov-17,56.81,59.98,56.81,59.80,10397672
15-Nov-17,56.80,56.99,56.18,56.69,3709910
14-Nov-17,56.39,56.96,55.96,56.54,5035345
13-Nov-17,56.80,56.89,55.91,56.44,4429054
10-Nov-17,55.69,57.04,55.54,56.80,5758922
9-Nov-17,56.50,56.57,55.63,56.00,5205022
8-Nov-17,55.36,56.42,55.24,56.22,5980998
7-Nov-17,55.78,56.03,54.60,55.36,8785391
6-Nov-17,56.20,56.50,54.93,55.54,16985502
3-Nov-17,59.01,59.44,58.58,58.91,4097639
2-Nov-17,59.76,60.11,58.13,58.30,5884443
1-Nov-17,60.14,60.40,59.36,59.75,3352007
31-Oct-17,59.64,60.25,59.32,59.77,7361313
30-Oct-17,62.67,63.08,59.21,59.58,14267538
27-Oct-17,61.47,63.00,61.47,62.95,3084644
26-Oct-17,62.18,62.32,61.51,61.73,2838771
25-Oct-17,61.95,62.26,61.37,61.93,4067115
24-Oct-17,61.74,62.40,61.54,62.28,3645315
23-Oct-17,61.10,62.00,60.30,61.47,6759698
20-Oct-17,61.97,61.98,60.28,60.46,3796166
19-Oct-17,60.44,61.97,60.31,61.51,4448458
18-Oct-17,60.87,60.91,60.25,60.68,3115789
17-Oct-17,60.93,61.04,60.56,60.94,1319090
16-Oct-17,61.52,61.65,60.90,60.97,1489735
13-Oct-17,61.29,61.55,60.74,61.39,2389460
12-Oct-17,61.07,61.66,60.71,61.28,2506553
11-Oct-17,61.15,61.74,59.42,61.18,4411812
10-Oct-17,61.69,61.78,61.11,61.23,3252483
9-Oct-17,62.31,62.61,61.18,61.56,3148441
6-Oct-17,61.63,62.63,61.60,62.41,4124830
5-Oct-17,61.51,62.09,61.32,61.52,3944162
4-Oct-17,61.42,62.25,61.28,61.50,5695471
3-Oct-17,61.56,61.99,61.40,61.68,3966814
2-Oct-17,61.34,61.78,61.07,61.52,3516721
29-Sep-17,62.13,62.44,61.40,61.66,4975670
28-Sep-17,62.12,62.25,61.69,61.92,4341618
27-Sep-17,62.74,63.17,62.38,62.39,3845436
26-Sep-17,63.06,63.36,62.77,63.03,2949177
25-Sep-17,64.11,64.47,62.80,62.89,5985377
22-Sep-17,63.85,64.53,63.41,64.06,6631758
21-Sep-17,63.74,63.99,63.22,63.39,1961668
20-Sep-17,65.32,65.47,63.09,63.52,4549547
19-Sep-17,62.01,65.46,61.33,65.42,11735681
18-Sep-17,60.95,61.99,60.75,61.80,4756976
15-Sep-17,61.33,61.89,60.73,61.17,5597554
14-Sep-17,62.47,62.61,61.08,61.17,4864029
13-Sep-17,62.93,63.43,62.59,62.80,2411130
12-Sep-17,63.01,63.76,62.59,62.98,1504550
11-Sep-17,63.16,63.50,62.76,63.03,2263772
8-Sep-17,63.40,63.54,62.58,62.74,2236307
7-Sep-17,64.01,64.16,63.14,63.34,1786183
6-Sep-17,63.81,64.15,63.14,63.79,2774840
5-Sep-17,64.17,64.46,63.27,63.64,2168620
1-Sep-17,64.78,64.86,64.04,64.16,1496940
31-Aug-17,64.25,64.76,64.15,64.71,2777593
30-Aug-17,63.47,64.37,63.43,64.25,1437390
29-Aug-17,63.31,63.74,63.08,63.47,1266769
28-Aug-17,64.00,64.00,63.57,63.72,1199957
25-Aug-17,64.12,64.45,63.72,63.74,2316815
24-Aug-17,63.96,64.32,63.73,63.97,2115705
23-Aug-17,64.20,64.36,63.88,64.00,1721873
22-Aug-17,63.21,64.50,63.05,64.38,2432824
21-Aug-17,63.49,63.49,62.56,62.83,2141373
18-Aug-17,62.87,63.47,62.71,63.00,1419593
17-Aug-17,64.00,64.12,62.98,62.99,2459851
16-Aug-17,63.75,64.48,63.55,64.28,2034857
15-Aug-17,63.79,64.00,63.41,63.88,2654421
14-Aug-17,64.19,64.19,63.67,63.78,2455358
11-Aug-17,62.45,63.65,62.24,63.61,2464366
10-Aug-17,63.31,63.94,62.12,62.47,3092549
9-Aug-17,63.63,63.95,63.19,63.80,2144979
8-Aug-17,64.04,64.37,63.65,63.90,1880826
7-Aug-17,64.85,65.00,64.15,64.26,3637349
4-Aug-17,63.94,64.53,63.56,64.52,3563602
3-Aug-17,63.72,63.93,63.15,63.73,3527719
2-Aug-17,63.22,63.72,62.75,63.63,3658528
1-Aug-17,62.10,63.46,61.61,63.07,5531109
31-Jul-17,62.25,62.51,61.09,61.66,3989028
28-Jul-17,61.41,61.85,61.11,61.78,2809930
27-Jul-17,62.39,62.75,61.43,61.62,3206364
26-Jul-17,62.34,62.88,62.28,62.39,2756035
25-Jul-17,62.50,62.82,62.25,62.36,3985441
24-Jul-17,62.39,63.06,62.25,62.53,3706839
21-Jul-17,61.28,62.73,61.08,62.58,6980090
20-Jul-17,63.85,64.03,61.08,61.12,13594524
19-Jul-17,61.51,62.08,61.13,61.97,6824500
18-Jul-17,61.61,61.75,60.91,61.39,4499359
17-Jul-17,61.04,61.74,60.75,61.38,3312515
14-Jul-17,61.21,61.72,60.62,61.24,4904836
13-Jul-17,61.50,61.73,60.74,60.91,2416531
12-Jul-17,61.70,61.88,60.89,61.51,3055147
11-Jul-17,60.74,61.47,60.66,61.23,3263368
10-Jul-17,60.07,60.89,59.68,60.80,4361136
7-Jul-17,59.45,60.16,59.26,60.01,3266657
6-Jul-17,59.56,59.89,59.13,59.45,5596110
5-Jul-17,59.88,60.32,59.38,59.95,6285912
3-Jul-17,60.74,60.85,59.90,60.00,1637424
30-Jun-17,60.88,61.00,59.94,60.62,4814317
29-Jun-17,61.19,61.26,59.59,60.30,7212564
28-Jun-17,61.01,61.54,60.84,61.48,3170889
27-Jun-17,61.25,62.54,60.72,61.01,10267323
26-Jun-17,63.60,63.79,63.12,63.15,1595245
23-Jun-17,63.48,63.81,63.34,63.40,2086306
22-Jun-17,63.63,63.96,63.26,63.56,4180975
21-Jun-17,63.85,64.07,63.25,63.57,3203546
20-Jun-17,63.80,64.53,62.76,63.98,6227655
19-Jun-17,63.60,64.02,63.30,64.01,2978058
16-Jun-17,63.27,63.81,62.47,63.13,7437718
15-Jun-17,62.77,63.73,62.46,63.60,3883438
14-Jun-17,63.91,64.10,62.85,63.27,2987174
13-Jun-17,64.76,65.10,63.70,64.01,4712829
12-Jun-17,63.56,64.78,63.52,64.67,3535119
9-Jun-17,65.71,65.71,62.75,63.84,6337632
8-Jun-17,66.04,66.25,65.00,65.69,5033436
7-Jun-17,66.35,66.43,65.50,65.92,3027728
6-Jun-17,67.20,67.49,66.02,66.11,4351863
5-Jun-17,68.31,68.50,67.29,67.40,3597428
2-Jun-17,67.93,68.42,67.77,68.32,1853735
1-Jun-17,67.42,67.93,66.98,67.90,1979479
31-May-17,67.08,67.56,66.78,67.42,5185749
30-May-17,67.61,68.08,66.95,67.08,2841854
26-May-17,67.88,68.04,67.52,67.80,3631285
25-May-17,67.83,68.44,67.72,67.86,2221135
24-May-17,67.82,67.94,67.05,67.89,2485272
23-May-17,67.53,67.88,67.10,67.62,2099527
22-May-17,66.33,67.24,66.25,67.22,2736843
19-May-17,66.71,67.07,66.00,66.37,4974670
18-May-17,63.75,66.27,63.63,65.72,4936294
17-May-17,65.44,66.44,63.81,63.91,6304699
16-May-17,65.65,66.28,65.50,65.91,3436892
15-May-17,65.61,65.85,65.01,65.69,3484073
12-May-17,66.83,66.87,65.25,65.55,3731406
11-May-17,66.06,66.31,65.17,65.81,3044664
10-May-17,66.94,67.63,65.94,66.00,6144725
9-May-17,65.98,66.06,65.16,65.50,3383516
8-May-17,66.84,67.07,65.83,66.15,3889730
5-May-17,65.79,66.49,65.32,66.49,2707253
4-May-17,65.48,65.63,64.91,65.48,3368642
3-May-17,66.82,67.14,65.09,65.35,6369370
2-May-17,68.56,68.88,66.57,66.94,3769179
1-May-17,67.83,68.40,67.45,68.31,4259206
28-Apr-17,67.79,67.87,66.97,67.27,3814203
27-Apr-17,67.66,68.19,67.50,67.74,2909597
26-Apr-17,67.69,67.76,67.14,67.58,4727299
25-Apr-17,66.00,67.45,65.26,67.35,6728291
24-Apr-17,65.03,65.97,64.97,65.93,5564527
21-Apr-17,65.24,65.24,64.53,64.70,4858289
20-Apr-17,65.21,65.41,64.78,64.81,2612092
19-Apr-17,65.05,65.51,64.82,65.13,3405602
18-Apr-17,64.82,65.33,64.58,64.61,1977813
17-Apr-17,64.50,64.97,64.21,64.94,2387784
13-Apr-17,64.15,64.36,63.70,64.04,2275266
12-Apr-17,63.77,64.00,63.50,63.92,1549193
11-Apr-17,63.84,64.02,63.45,63.93,2524360
10-Apr-17,63.89,64.26,62.38,63.89,2386227
7-Apr-17,63.27,64.14,63.14,63.58,2507405
6-Apr-17,62.35,63.33,62.22,63.24,6159983
5-Apr-17,63.76,64.00,63.38,63.50,2958458
4-Apr-17,63.32,63.94,63.26,63.68,2605265
3-Apr-17,64.20,64.32,62.97,63.55,4087809
31-Mar-17,64.95,65.35,64.18,64.59,4431770
30-Mar-17,64.75,65.21,64.29,65.13,2954193
29-Mar-17,64.39,65.08,63.97,64.74,3681697
28-Mar-17,64.00,64.42,63.64,64.23,3404197
27-Mar-17,63.92,64.28,63.65,64.22,2595963
24-Mar-17,63.54,64.76,63.26,64.17,4322745
23-Mar-17,63.14,63.70,62.89,63.12,2169075
22-Mar-17,62.68,63.58,62.49,63.27,4034534
21-Mar-17,62.98,63.43,62.34,62.47,3416426
20-Mar-17,63.39,63.55,62.75,63.11,2092661
17-Mar-17,62.99,63.79,62.65,63.50,4563006
16-Mar-17,63.09,63.19,62.07,62.39,2882741
15-Mar-17,61.61,63.08,61.44,62.99,5470720
14-Mar-17,61.80,62.04,61.14,61.35,2309579
13-Mar-17,61.51,61.98,61.12,61.84,3604188
10-Mar-17,61.58,61.86,60.88,61.48,4446033
9-Mar-17,61.48,61.68,60.83,61.14,6050280
8-Mar-17,61.42,62.20,61.36,61.41,4697206
7-Mar-17,62.53,62.87,61.38,61.63,3738761
6-Mar-17,63.16,63.50,62.51,62.84,3363677
3-Mar-17,62.22,63.61,62.00,63.56,4357562
2-Mar-17,62.20,62.86,61.67,62.54,3688096
1-Mar-17,62.66,62.97,62.18,62.34,3777302
28-Feb-17,62.25,62.89,61.70,62.53,4297878
27-Feb-17,61.31,62.18,60.79,62.17,6179957
24-Feb-17,62.10,62.58,61.72,62.21,4570798
23-Feb-17,63.22,63.35,61.95,62.07,5342185
22-Feb-17,63.27,63.47,62.62,63.08,2655124
21-Feb-17,63.41,63.61,62.33,63.20,5579085
17-Feb-17,60.54,65.41,59.89,63.92,13430310
16-Feb-17,61.19,61.40,60.32,60.61,3852075
15-Feb-17,61.47,61.80,60.72,61.30,9362416
14-Feb-17,61.24,62.84,59.51,61.60,17976424
13-Feb-17,60.59,61.00,60.03,60.90,11670065
10-Feb-17,62.16,62.54,61.40,62.39,3829662
9-Feb-17,61.71,62.42,61.71,62.25,3171467
8-Feb-17,61.50,62.62,61.33,61.89,5555094
7-Feb-17,61.03,62.05,60.61,61.89,3369774
6-Feb-17,61.13,61.38,60.89,60.96,3762045
3-Feb-17,61.25,61.71,60.81,61.36,5141014
2-Feb-17,62.89,62.96,60.42,61.15,6004409
1-Feb-17,62.26,63.65,62.24,63.26,8937496
31-Jan-17,61.25,62.62,61.19,62.27,4502211
30-Jan-17,61.91,62.08,60.59,61.13,5359778
27-Jan-17,63.68,63.68,61.68,62.42,6294873
26-Jan-17,61.11,63.64,61.10,63.37,12440292
25-Jan-17,60.20,60.99,59.84,60.74,4003285
24-Jan-17,60.01,60.57,59.62,60.22,3903013
23-Jan-17,60.77,60.86,60.11,60.24,3560521
20-Jan-17,60.54,60.73,59.51,59.62,3911818
19-Jan-17,58.52,60.64,58.44,60.07,6036421
18-Jan-17,57.54,58.85,57.39,58.66,5317671
17-Jan-17,57.25,58.14,56.89,57.05,4115157
13-Jan-17,57.25,57.85,56.69,57.19,1973738
12-Jan-17,57.40,57.50,56.57,57.15,2286344
11-Jan-17,58.54,58.94,57.28,57.46,4718211
10-Jan-17,55.72,58.84,55.30,58.74,5458290
9-Jan-17,56.57,56.99,56.27,56.67,3329740
6-Jan-17,57.87,58.14,56.64,56.77,4776635
5-Jan-17,58.77,59.42,57.08,57.61,5427228
4-Jan-17,58.36,59.46,58.04,58.82,5540609
3-Jan-17,58.10,58.91,57.75,58.32,3004143
30-Dec-16,57.86,58.01,57.08,57.51,2119966
29-Dec-16,58.07,58.69,57.96,58.05,1671921
28-Dec-16,58.43,58.43,57.95,58.00,1392483
27-Dec-16,58.10,58.55,58.03,58.32,1609369
23-Dec-16,57.76,58.31,57.60,58.02,1184187
22-Dec-16,58.42,58.42,57.46,58.08,1103620
21-Dec-16,58.48,58.48,57.72,57.82,1618065
20-Dec-16,57.82,58.30,57.80,58.06,1410350
19-Dec-16,57.23,58.25,57.05,57.80,1926807
16-Dec-16,57.53,57.66,56.62,57.01,3430889
15-Dec-16,56.85,57.75,56.31,57.25,3231897
14-Dec-16,56.75,57.18,56.25,56.55,3298295
13-Dec-16,56.56,57.08,56.43,56.65,3327214
12-Dec-16,56.65,56.80,55.87,56.13,4155715
9-Dec-16,58.58,58.64,56.59,56.74,3406193
8-Dec-16,58.40,59.19,57.98,58.55,4156062
7-Dec-16,56.69,58.47,55.95,58.39,7593989
6-Dec-16,55.02,56.69,54.52,55.99,7616299
5-Dec-16,54.60,55.20,54.55,55.02,1999547
2-Dec-16,54.62,54.82,53.83,54.44,3087884
1-Dec-16,54.11,54.53,53.78,54.26,4414072
